Listing_URL,Address,Price,Bedroom,Bathroom,Sqft,Query_Zip_Code,Query_Miles,Longitude,Latitude,Query_Date
https://sfbay.craigslist.org/eby/apa/d/oakland-fitness-center-ev-charging/7697916105.html,"385 14th St, Oakland, CA 94612",3949,1,1,650,94607,1.0,-122.270159,37.804181,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-the-right-place-for-you/7695181097.html,"1705 Mandela Parkway Unit D, Oakland, CA 94607",1320,0,1,271,94607,1.0,-122.291364,37.813264,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7696394841.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279785,37.811988,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7697139599.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279871,37.812154,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7695392891.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/sfc/apa/d/oakland-bright-and-beautiful-bed-bath/7698320424.html,"988 Franklin St #903, Oakland, CA, CA 94607",1700,1,1,615,94607,1.0,-122.272136,37.801589,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-dream-bigger-live-better-move/7695421935.html,"675 11th Street Unit 03, Oakland, CA 94607",1950,2,1,991,94607,1.0,-122.278611,37.805005,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-lovely-bedroom-apartment/7698254831.html,"570 21st Street, Oakland, CA 94612",2667,2,2,933,94607,1.0,-122.270976,37.811004,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-explore-lampwork-lofts-open/7693642105.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",1696,0,1,415,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-live-at-the-center-of-modern/7695739787.html,Unknown,1000,1,1,700,94607,1.0,-122.2682,37.8054,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-move-in-special-months-free/7698183141.html,"570 21st Street, Oakland, CA 94612",2113,0,1,450,94607,1.0,-122.270976,37.811004,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7698083628.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280064,37.811811,2023-16-12
https://losangeles.craigslist.org/lac/apa/d/oakland-largest-1br-1ba-floorplan/7697218477.html,"928 Franklin St, Oakland, CA 94607",1800,1,1,690,94607,1.0,-122.27218,37.801527,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-space-style-and-whole-lot-more/7691908597.html,"2246 Magnolia Street Unit E, Oakland, CA 94607",1540,0,1,296,94607,1.0,-122.285364,37.816352,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-2bed-2ba-condo-in-downtown/7696539904.html,"901 Jefferson, Oakland, CA 94607",3300,2,2,870,94607,1.0,-122.27728,37.802727,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7696765165.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279935,37.812171,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-1459-square-foot-live-work/7695496129.html,"737 2nd St, #204, Oakland, CA 94607",3990,1,1,1459,94607,1.0,-122.283068,37.798637,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-new-chic-style-beds-bath-apt/7694476565.html,"704 Broadway, Oakland, CA 94607",2250,2,1,750,94607,1.0,-122.273605,37.799391,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7696505586.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-dont-scroll-past-these-jaw/7698206437.html,"532 Union Street, Oakland, CA 94615",3615,2,1,925,94607,1.0,-122.29088,37.804095,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-affordable-housing-community/7695378484.html,"550 24th Street, Oakland, CA 94612",1050,0,1,250,94607,1.0,-122.269894,37.813829,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-family-all-together/7697885141.html,"1919 Market Street, Oakland, CA 94607",2480,4,2,840,94607,1.0,-122.27927,37.811696,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-live-easy-modera-jack-london/7695174596.html,"378 Embarcadero West, Oakland, CA 94607",1914,0,1,376,94607,1.0,-122.275322,37.79532,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-nice-and-spacious-studios-just/7695370333.html,"1445 Harrison St, Oakland, CA 94612",1036,0,1,200,94607,1.0,-122.267866,37.803876,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-one-month-free-bed-1ba-in-cozy/7692770358.html,Unknown,2246,2,1,1000,94607,1.0,-122.288494,37.807585,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-steps-to-west-oakland-bart/7689469682.html,"541 Chester St, Oakland, CA 94607",2499,3,2,1300,94607,1.0,-122.296468,37.805563,2023-16-12
